HOGI,MOD_DATE,PARTNO,PARTNAME,SPEC,PART_QTY,CMT,BRAND,GISONG,SPEED,CAPA,PLANT,ETHRU,CWT_SAFETY,CWT_BALANCE,CAR_BB,CAR_AA,MATERIAL
213021L09,20260910,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",0,-,NEWYZER,GTSS_R,105,1200,KR00,,N,50,1655,1860,CONCRETE (시멘트)
213021L14,20260910,12011121G0200,BALANCE WEIGHT,"CONCRETE,10kg,G/S",17,-,NEWYZER,GTSS_R,105,1200,KR00,,N,50,1655,1860,CONCRETE (시멘트)
213021L14,20260910,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",0,-,NEWYZER,GTSS_R,105,1200,KR00,,N,50,1655,1860,CONCRETE (시멘트)
213021L17,20260910,12011121G0200,BALANCE WEIGHT,"CONCRETE,10kg,G/S",17,-,NEWYZER,GTSS_R,105,1200,KR00,,N,50,1655,1860,CONCRETE (시멘트)
213021L17,20260910,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",0,-,NEWYZER,GTSS_R,105,1200,KR00,,N,50,1655,1860,CONCRETE (시멘트)
213021L18,20260910,12011121G0200,BALANCE WEIGHT,"CONCRETE,10kg,G/S",17,-,NEWYZER,GTSS_R,105,1200,KR00,,N,50,1655,1860,CONCRETE (시멘트)
213021L18,20260910,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",0,-,NEWYZER,GTSS_R,105,1200,KR00,,N,50,1655,1860,CONCRETE (시멘트)
N28117L04,20260914,12011121G020A,BALANCE WEIGHT,"CONCRETE,10kg",30,-,LUXEN_2,GTLX_R,150,1350,KR00,,N,50,2060,1700,CONCRETE (시멘트)
N28734L05,20260803,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1665,1630,CONCRETE (시멘트)
211930L25,20260827,12000067G0100,BALANCE WEIGHT,CONCRETE,3,-,LUXEN_2,GTLX_R,120,1600,KR00,,N,50,1905,2010,CONCRETE (시멘트)
211930L25,20260827,12000283G0100,BALANCE WEIGHT,CONCRETE,5,-,LUXEN_2,GTLX_R,120,1600,KR00,,N,50,1905,2010,CONCRETE (시멘트)
N29104L08,20260710,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,60,900,KC01,,N,50,1505,1650,CONCRETE (시멘트)
N28020L01,20260820,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",0,-,NEX_MR,GTLX,90,750,KC01,,N,50,1505,1450,CONCRETE (시멘트)
N29059L01,20260909,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,90,900,KC01,,N,50,1505,1650,CONCRETE (시멘트)
N29061L01,20260831,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1150,KC01,,LSG06,50,1655,1850,CONCRETE (시멘트)
N29061L02,20260810,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1150,KC01,,N,50,1655,1850,CONCRETE (시멘트)
