PID,VERSION,NO,ADDR,GOTO,SPEC1,CON1,SPEC2,CON2,KEY1,VAL1,KEY2,VAL2,REMARKS
CAL_NEXBRAND_CMT,129,40,-,-,EL_ATYP,",GTSS_E,GTSS",EL_DSETUP,OT_GEN2,EE_GAP,320,-,-,-
CAL_NEXBRAND_CMT,129,41,-,-,-,-,-,-,-,-,-,-,-
CAL_NEXBRAND_CMT,129,42,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",NEX_CC,N,L_CMT,"- CEILING TYPE : {EL_BCL}
- CA={EL_ECCA}, CB={EL_ECCB}, JJ={EL_ECJJ}, EE=[$ {EL_ECEE} - {EE_GAP} $], {EL_AOPEN}, BELT = {EL_ERPW}본
- LIGHTING : {EL_ALI}V & {EL_AHZ}Hz, {EL_ECSF} TYPE",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,43,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",NEX_CC,!N,L_CMT,"- CEILING TYPE : {EL_BCL}, COLOR : {NEX_CC}
- CA={EL_ECCA}, CB={EL_ECCB}, JJ={EL_ECJJ}, EE=[$ {EL_ECEE} - {EE_GAP} $], {EL_AOPEN}, BELT = {EL_ERPW}본
- LIGHTING : {EL_ALI}V & {EL_AHZ}Hz, {EL_ECSF} TYPE",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,44,-,-,-,-,-,-,-,-,-,-,-
CAL_NEXBRAND_CMT,129,45,-,-,NEX_CEILING_PLATE_HOLE_DWG,!N,EL_ZFDB,>20230326,L_CMT,{NEX_CEILING_PLATE_HOLE_DWG},NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,46,-,-,CEILING_PLATE_HOLE_DWG_CMT,!N,EL_BWMT,N,L_CMT,{CEILING_PLATE_HOLE_DWG_CMT},NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",NEX 표준천장(다른 부품으로 표준의장 N으로 입력된 현장) 천장 홀 가공도
CAL_NEXBRAND_CMT,129,47,-,-,-,-,-,-,-,-,-,-,-
CAL_NEXBRAND_CMT,129,48,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BWMT,",NXP_EAB,NXP_EGS,NXP_EAR,NXP_EGR",L_CMT,- CORNER WALL LED LIGHT 적용을 위한 CABLE HOLE DWG. 32113795G01 반영할 것.,NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",NEX HIGH 모델 CORNER WALL LED LIGHT 적용을 위한 수정 가공도
CAL_NEXBRAND_CMT,129,49,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BWMT,",NXP_EAB,NXP_EGS,NXP_EAR,NXP_EGR",L_CMT,- CORNER WALL LED LIGHT 적용을 위한 CABLE HOLE DWG. 32113795G02 반영할 것.,NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
